address_id,address,address2,district,city_id,postal_code,phone,last_update
1,47 MySakila Drive,\N,Alberta,300.0,,,2006-02-15 09:45:30
2,28 MySQL Boulevard,\N,QLD,576.0,,,2006-02-15 09:45:30
3,23 Workhaven Lane,\N,Alberta,300.0,,14033335568.0,2006-02-15 09:45:30
4,1411 Lillydale Drive,\N,QLD,576.0,,6172235589.0,2006-02-15 09:45:30
5,1913 Hanoi Way,,Nagasaki,463.0,35200.0,28303384290.0,2006-02-15 09:45:30
6,1121 Loja Avenue,,California,449.0,17886.0,838635286649.0,2006-02-15 09:45:30
7,692 Joliet Street,,Attika,38.0,83579.0,448477190408.0,2006-02-15 09:45:30
8,1566 Inegl Manor,,Mandalay,349.0,53561.0,705814003527.0,2006-02-15 09:45:30
9,53 Idfu Parkway,,Nantou,361.0,42399.0,10655648674.0,2006-02-15 09:45:30
10,1795 Santiago de Compostela Way,,Texas,295.0,18743.0,860452626434.0,2006-02-15 09:45:30
11,900 Santiago de Compostela Parkway,,Central Serbia,280.0,93896.0,716571220373.0,2006-02-15 09:45:30
12,478 Joliet Way,,Hamilton,200.0,77948.0,657282285970.0,2006-02-15 09:45:30
13,613 Korolev Drive,,Masqat,329.0,45844.0,380657522649.0,2006-02-15 09:45:30
14,1531 Sal Drive,,Esfahan,162.0,53628.0,648856936185.0,2006-02-15 09:45:30
15,1542 Tarlac Parkway,,Kanagawa,440.0,1027.0,635297277345.0,2006-02-15 09:45:30
16,808 Bhopal Manor,,Haryana,582.0,10672.0,465887807014.0,2006-02-15 09:45:30
17,270 Amroha Parkway,,Osmaniye,384.0,29610.0,695479687538.0,2006-02-15 09:45:30
18,770 Bydgoszcz Avenue,,California,120.0,16266.0,517338314235.0,2006-02-15 09:45:30
19,419 Iligan Lane,,Madhya Pradesh,76.0,72878.0,990911107354.0,2006-02-15 09:45:30
20,360 Toulouse Parkway,,England,495.0,54308.0,949312333307.0,2006-02-15 09:45:30
21,270 Toulon Boulevard,,Kalmykia,156.0,81766.0,407752414682.0,2006-02-15 09:45:30
22,320 Brest Avenue,,Kaduna,252.0,43331.0,747791594069.0,2006-02-15 09:45:30
23,1417 Lancaster Avenue,,Northern Cape,267.0,72192.0,272572357893.0,2006-02-15 09:45:30
24,1688 Okara Way,,Nothwest Border Prov,327.0,21954.0,144453869132.0,2006-02-15 09:45:30
25,262 A Corua (La Corua) Parkway,,Dhaka,525.0,34418.0,892775750063.0,2006-02-15 09:45:30
26,28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,443.0,37551.0,161968374323.0,2006-02-15 09:45:30
27,1780 Hino Boulevard,,Liepaja,303.0,7716.0,902731229323.0,2006-02-15 09:45:30
28,96 Tafuna Way,,Crdoba,128.0,99865.0,934730187245.0,2006-02-15 09:45:30
29,934 San Felipe de Puerto Plata Street,,Sind,472.0,99780.0,196495945706.0,2006-02-15 09:45:30
30,18 Duisburg Boulevard,,,121.0,58327.0,998009777982.0,2006-02-15 09:45:30
31,217 Botshabelo Place,,Southern Mindanao,138.0,49521.0,665356572025.0,2006-02-15 09:45:30
32,1425 Shikarpur Manor,,Bihar,346.0,65599.0,678220867005.0,2006-02-15 09:45:30
33,786 Aurora Avenue,,Yamaguchi,474.0,65750.0,18461860151.0,2006-02-15 09:45:30
34,1668 Anpolis Street,,Taipei,316.0,50199.0,525255540978.0,2006-02-15 09:45:30
35,33 Gorontalo Way,,West Bengali,257.0,30348.0,745994947458.0,2006-02-15 09:45:30
36,176 Mandaluyong Place,,Uttar Pradesh,239.0,65213.0,627705991774.0,2006-02-15 09:45:30
37,127 Purnea (Purnia) Manor,,Piemonte,17.0,79388.0,911872220378.0,2006-02-15 09:45:30
38,61 Tama Street,,Okayama,284.0,94065.0,708403338270.0,2006-02-15 09:45:30
